,DE_load,DK_load,HU_load,IT_load,NL_load,PO_load,SE_load,SP_load,UK_load,label,SP_gen,UK_gen,DE_gen,DK_gen,HU_gen,SE_gen,IT_gen,PO_gen,NL_gen
2022-01-01 00:00:00,165125.0,3218.0,16457.0,19756.0,40706.0,13935.0,15331.0,19530.0,1244.0,DK,10827.0,0.0,157373.0,3605.0,1376.0,11107.0,5745.0,4491.0,12768.0
2022-01-01 01:00:00,160415.0,3126.0,15426.0,18685.0,39465.0,13579.0,15270.0,18383.0,1131.0,DK,11140.0,0.0,151747.0,3309.0,1526.0,11036.0,6228.0,4436.0,11131.0
2022-01-01 02:00:00,158035.0,3080.0,14781.0,18124.0,38923.0,13397.0,15150.0,17680.0,1091.0,DK,11361.0,0.0,147938.0,3043.0,1560.0,10509.0,6407.0,4568.0,11324.0
2022-01-01 03:00:00,157016.0,3044.0,14630.0,18400.0,38211.0,13364.0,15387.0,17396.0,969.0,DK,11247.0,0.0,141816.0,2852.0,1287.0,10770.0,5760.0,4559.0,11290.0
2022-01-01 04:00:00,154552.0,3130.0,14688.0,19223.0,38146.0,13449.0,15737.0,17544.0,896.0,DK,10868.0,0.0,131970.0,2724.0,1309.0,10852.0,5501.0,4374.0,11093.0
2022-01-01 05:00:00,154275.0,3238.0,14960.0,19738.0,38956.0,13444.0,16054.0,17866.0,871.0,DK,10935.0,0.0,129345.0,2579.0,1450.0,11108.0,6226.0,4303.0,11028.0
2022-01-01 06:00:00,157356.0,3378.0,15034.0,20289.0,39968.0,13527.0,16455.0,17806.0,860.0,UK,11101.0,0.0,122836.0,2293.0,1627.0,11757.0,7356.0,4370.0,10421.0
2022-01-01 07:00:00,163000.0,3537.0,15259.0,21469.0,40808.0,14202.0,16943.0,18533.0,922.0,UK,13339.0,0.0,117508.0,1806.0,2447.0,11774.0,8637.0,4540.0,10565.0
2022-01-01 08:00:00,171858.0,3714.0,15551.0,22735.0,41742.0,14851.0,17476.0,20018.0,1017.0,UK,16179.0,0.0,119089.0,1655.0,3597.0,11668.0,9132.0,4402.0,11355.0
2022-01-01 09:00:00,179829.0,3818.0,16045.0,23636.0,42796.0,15643.0,17657.0,20989.0,1095.0,UK,17616.0,0.0,120971.0,1601.0,4205.0,11407.0,9821.0,4266.0,13283.0
2022-01-01 10:00:00,188335.0,3893.0,16500.0,24182.0,42494.0,16235.0,17521.0,21514.0,1232.0,UK,17581.0,0.0,123192.0,1832.0,4331.0,11124.0,10404.0,4014.0,14039.0
2022-01-01 11:00:00,188528.0,3943.0,16966.0,23270.0,42294.0,16712.0,17542.0,22105.0,1351.0,UK,17181.0,0.0,122314.0,1904.0,3845.0,11016.0,10367.0,3571.0,14848.0
2022-01-01 12:00:00,184922.0,3915.0,17195.0,22755.0,43153.0,16874.0,17783.0,22384.0,1508.0,UK,16585.0,0.0,117152.0,2116.0,3026.0,11134.0,9877.0,3103.0,15071.0
2022-01-01 13:00:00,182733.0,3988.0,17488.0,22881.0,44379.0,17032.0,18417.0,21106.0,1653.0,DK,16437.0,0.0,108819.0,2498.0,2129.0,11616.0,7776.0,2656.0,15058.0
2022-01-01 14:00:00,183467.0,4213.0,18052.0,23818.0,45865.0,17715.0,18620.0,20617.0,1682.0,DK,14798.0,0.0,99704.0,3200.0,1517.0,12137.0,7108.0,2368.0,14996.0
2022-01-01 15:00:00,195571.0,4473.0,19157.0,26742.0,48406.0,17887.0,18778.0,21096.0,1671.0,DK,11888.0,0.0,107104.0,3771.0,1419.0,12574.0,8807.0,2427.0,14620.0
2022-01-01 16:00:00,207259.0,4407.0,19169.0,27672.0,52021.0,17929.0,18621.0,23211.0,1741.0,DK,11040.0,0.0,117785.0,4339.0,1427.0,12930.0,9000.0,2133.0,15599.0
2022-01-01 17:00:00,208694.0,4133.0,19117.0,28393.0,51429.0,17898.0,17942.0,24435.0,1977.0,DK,11483.0,0.0,126662.0,4792.0,1287.0,13225.0,9276.0,1990.0,16211.0
2022-01-01 18:00:00,203720.0,3970.0,19077.0,27996.0,49999.0,17594.0,17481.0,24964.0,2083.0,DK,11812.0,0.0,131402.0,5052.0,1154.0,13667.0,8514.0,1944.0,16206.0
2022-01-01 19:00:00,196041.0,3821.0,18695.0,26693.0,47940.0,16972.0,17048.0,25189.0,1925.0,DK,11974.0,0.0,129423.0,5097.0,1163.0,14060.0,7418.0,1715.0,15302.0
2022-01-01 20:00:00,191635.0,3619.0,18142.0,24635.0,46052.0,16426.0,16461.0,24134.0,1801.0,DK,11616.0,0.0,131258.0,4892.0,1108.0,14106.0,5956.0,1625.0,14103.0
2022-01-01 21:00:00,187527.0,3462.0,17310.0,22404.0,44113.0,15411.0,16048.0,22552.0,1691.0,DK,11279.0,0.0,132964.0,4747.0,1021.0,14048.0,5111.0,1393.0,13678.0
2022-01-01 22:00:00,176366.0,3351.0,16380.0,20428.0,42275.0,14480.0,15924.0,21048.0,1534.0,DK,10740.0,0.0,133780.0,4078.0,999.0,13242.0,5044.0,1765.0,14029.0
2022-01-01 23:00:00,170078.0,3173.0,15480.0,18989.0,41053.0,13833.0,15328.0,19473.0,1385.0,DK,10412.0,0.0,143879.0,3960.0,964.0,12753.0,5319.0,2295.0,14210.0
2022-01-02 00:00:00,164923.0,3128.0,14901.0,18083.0,39562.0,13451.0,15037.0,18375.0,1252.0,DK,10138.0,0.0,144602.0,3959.0,893.0,12567.0,5291.0,2740.0,15019.0
2022-01-02 02:00:00,162753.0,3063.0,14142.0,17737.0,38236.0,13326.0,14706.0,17539.0,1050.0,DK,10124.0,0.0,142190.0,3817.0,645.0,11090.0,5613.0,3607.0,15153.0
